From.Grade,To.Grade,Is.Non.Annual.,Days,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Cancelled.Pax,Total.Discount.Pax,CRM.Segment,Parent.Meeting.Flag,Total.School.Enrollment,EZ.Pay.Take.Up.Rate,School.Sponsor,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,Retained.in.2012.
6,7,0,5,1992,8,2,0.571,3,1,5,1,604,0.214,0,14,15,1992,1,193,193,0.023178808,0.933333333,1,1
8,8,0,5,1773,14,7,0.609,7,3,5,1,657,0.174,0,23,26,1773,1,201,201,0.03500761,0.884615385,3,0
7,8,1,5,1649,0,0,0,1,9,5,1,475,0,0,104,113,1649,1,217,217,0.218947368,0.920353982,9,0
7,8,0,5,2449,21,3,0.808,6,3,5,1,609,0.039,0,26,29,2449,2,188,153,0.042692939,0.896551724,3,1
8,8,0,5,1979,5,7,0.333,8,1,5,1,706,0.067,0,15,16,1979,2,306,173,0.021246459,0.9375,1,1
7,8,1,5,1859,35,9,0.761,9,4,4,1,500,0.087,0,46,50,1859,1,194,194,0.092,0.92,4,1
11,12,1,5,2319,9,3,0.692,4,1,5,1,1155,0.462,0,13,14,2319,1,174,174,0.011255411,0.928571429,1,0
5,5,1,5,1959,10,0,0.714,0,1,4,1,700,0.571,0,14,15,1959,1,187,187,0.02,0.933333333,1,0
8,8,0,4,800,11,1,0.262,1,3,10,1,750,0.524,0,42,45,800,1,195,195,0.056,0.933333333,3,1
5,6,0,5,2025,1,0,0.167,1,1,4,1,980,0.167,0,6,7,2025,2,326,181,0.006122449,0.857142857,1,0
9,9,0,5,1999,21,2,0.677,2,3,5,1,563,0.226,1,31,34,1999,1,188,188,0.055062167,0.911764706,3,1
8,8,0,6,2224,19,1,0.559,1,4,5,1,975,0.294,0,34,38,2224,1,195,195,0.034871795,0.894736842,4,1
8,8,0,6,2364,13,6,0.433,12,4,5,1,752,0.267,0,30,34,2364,2,306,201,0.039893617,0.882352941,4,1
8,8,1,6,2140,7,2,0.7,2,1,5,1,641,0.1,0,10,11,2140,2,412,211,0.015600624,0.909090909,1,0
8,8,0,3,599,55,2,0.514,7,10,5,1,760,0.094,0,107,117,599,2,181,166,0.140789474,0.914529915,10,1
8,8,0,4,1606,10,1,0.588,1,2,5,1,890,0.177,0,17,19,1606,1,196,196,0.019101124,0.894736842,2,1
8,8,0,4,776,116,5,0.667,16,18,5,1,713,0.092,1,174,192,776,1,201,201,0.244039271,0.90625,18,1
8,8,0,5,1799,13,2,0.929,3,1,10,1,761,0.071,0,14,15,1799,1,182,182,0.018396846,0.933333333,1,1
9,9,0,5,2106,6,0,0.75,0,1,5,1,816,0,0,8,9,2106,1,189,189,0.009803922,0.888888889,1,0
7,8,0,5,2074,3,1,0.5,3,1,5,1,1265,0,0,6,7,2074,1,174,174,0.004743083,0.857142857,1,0
8,8,0,6,1898,3,0,0.167,2,2,10,1,916,0,0,18,20,1898,1,189,189,0.019650655,0.9,2,1
4,4,0,2,598,34,8,0.4,11,3,5,1,566,0.118,1,85,88,598,1,195,195,0.150176678,0.965909091,3,1
6,6,0,3,1474,4,2,1,3,1,10,1,282,0.25,0,4,5,1474,1,219,219,0.014184397,0.8,1,0
7,8,1,3,1189,16,2,0.762,2,1,1,1,143,0.333,1,21,22,1189,1,239,239,0.146853147,0.954545455,1,0
8,8,0,5,1944,22,3,0.524,2,2,5,1,315,0.238,0,42,44,1944,1,195,195,0.133333333,0.954545455,2,0
5,5,1,5,539,12,0,0.333,0,3,1,1,175,0.222,0,36,39,539,1,239,239,0.205714286,0.923076923,3,0
8,8,0,5,439,29,6,0.42,12,5,5,1,420,0.203,1,69,74,439,1,162,162,0.164285714,0.932432432,5,1
10,12,0,4,635,19,2,0.5,5,4,2,1,2098,0.105,0,38,42,635,1,139,139,0.018112488,0.904761905,4,0
7,8,0,6,2382,0,0,0,1,5,10,1,1269,0,0,44,49,2382,2,322,196,0.034672971,0.897959184,5,1
7,8,0,3,1232,21,4,0.42,6,5,5,1,460,0.1,0,50,55,1232,1,199,199,0.108695652,0.909090909,5,1
8,8,0,3,699,61,5,0.701,2,10,5,1,420,0.184,0,87,97,699,1,203,203,0.207142857,0.896907216,10,1
8,8,1,4,1470,13,3,0.929,5,3,10,1,475,0.143,0,14,17,1470,1,204,204,0.029473684,0.823529412,3,0
8,8,0,4,1425,71,6,0.725,7,8,5,1,837,0.337,0,98,106,1425,2,219,204,0.117084827,0.924528302,8,1
4,5,0,1,415,5,0,0.455,0,1,11,1,164,0.364,0,11,12,415,1,198,198,0.067073171,0.916666667,1,0
4,4,0,1,425,3,3,0.429,3,1,4,1,741,0,1,7,8,425,1,197,197,0.009446694,0.875,1,1
4,4,0,1,470,4,0,0.333,0,1,11,1,105,0.167,0,12,13,470,1,192,192,0.114285714,0.923076923,1,1
7,8,1,3,1095,40,2,0.625,5,5,10,1,250,0.141,0,64,69,1095,2,374,198,0.256,0.927536232,5,0
6,8,0,3,516,0,0,0,4,2,2,1,429,0,0,31,33,516,1,157,157,0.072261072,0.939393939,2,0
5,5,0,5,843,24,10,0.923,12,2,4,1,649,0.192,0,26,28,843,2,360,220,0.040061633,0.928571429,2,1
8,8,0,5,695,0,0,0,1,3,10,1,268,0,0,32,35,695,1,333,333,0.119402985,0.914285714,3,1
5,5,0,3,827,20,4,0.714,4,2,4,1,902,0.179,0,28,30,827,1,211,211,0.031042129,0.933333333,2,1
8,8,0,4,2130,9,2,0.818,2,1,5,1,270,0.182,0,11,12,2130,2,332,192,0.040740741,0.916666667,1,1
5,5,0,5,715,17,0,0.395,0,6,4,1,556,0.186,0,43,49,715,2,367,211,0.077338129,0.87755102,6,1
5,5,0,4,781,36,7,0.419,11,8,4,1,753,0.151,0,86,94,781,2,344,213,0.114209827,0.914893617,8,1
8,8,0,5,2049,27,11,0.6,13,5,5,1,1018,0.267,0,45,50,2049,2,326,178,0.044204322,0.9,5,0
8,8,0,5,1994,16,3,0.667,2,2,5,1,834,0.125,0,24,26,1994,1,206,206,0.028776978,0.923076923,2,1
8,8,0,7,2217,45,11,0.865,11,7,5,1,850,0.135,1,52,59,2217,1,219,219,0.061176471,0.881355932,7,1
8,8,0,8,2199,13,6,0.722,6,2,5,1,592,0.278,0,18,20,2199,1,190,190,0.030405405,0.9,2,1
8,8,0,8,2199,48,2,0.533,5,6,5,1,868,0.156,0,90,96,2199,1,176,176,0.103686636,0.9375,6,1
4,4,1,1,408,9,3,0.409,2,1,4,1,562,0.136,0,22,23,408,2,312,193,0.039145907,0.956521739,1,0
8,8,0,3,1054,58,13,0.617,15,7,5,1,1538,0.277,0,94,101,1054,2,339,207,0.061118336,0.930693069,7,1
7,8,0,4,1631,6,4,0.857,5,1,10,1,275,0.143,0,7,8,1631,1,207,207,0.025454545,0.875,1,0
8,8,0,5,2078,19,7,0.475,8,2,5,1,1015,0.225,0,40,42,2078,2,324,205,0.039408867,0.952380952,2,1
8,8,0,5,2136,67,10,0.753,11,11,5,1,1000,0.191,0,89,100,2136,1,193,193,0.089,0.89,11,1
8,8,0,5,2246,31,10,0.646,11,5,5,1,535,0.271,0,48,53,2246,1,193,193,0.089719626,0.905660377,5,1
8,8,0,5,1792,15,1,0.405,2,3,5,1,175,0.216,0,37,40,1792,2,221,185,0.211428571,0.925,3,1
8,8,0,5,1960,66,6,0.555,4,7,5,1,469,0.16,0,119,126,1960,1,220,220,0.253731343,0.944444444,7,1
9,12,1,5,2620,15,7,0.833,8,2,5,1,1300,0.222,0,18,20,2620,2,317,205,0.013846154,0.9,2,0
8,8,0,5,1825,3,1,1,1,1,1,1,150,0.333,0,3,4,1825,2,221,208,0.02,0.75,1,1
8,8,0,6,2192,23,5,0.548,5,4,5,1,540,0.357,0,42,46,2192,2,325,205,0.077777778,0.913043478,4,1
8,8,0,6,2210,13,0,0.765,0,2,10,1,277,0.059,1,17,19,2210,1,219,219,0.061371841,0.894736842,2,1
8,8,0,6,1945,22,1,0.733,1,5,5,1,426,0.133,0,30,35,1945,2,438,234,0.070422535,0.857142857,5,1
7,8,1,6,2075,17,3,0.63,5,3,10,1,350,0.037,1,27,30,2075,1,226,226,0.077142857,0.9,3,1
8,8,0,6,2399,31,1,0.721,1,5,5,1,400,0.14,0,43,48,2399,1,200,200,0.1075,0.895833333,5,1
8,8,0,7,2108,17,2,0.447,3,2,5,1,1054,0.211,0,38,40,2108,1,207,207,0.036053131,0.95,2,1
8,8,0,7,2490,20,1,0.645,4,2,5,1,1209,0.065,0,31,33,2490,1,215,215,0.025641026,0.939393939,2,1
8,8,0,7,2326,14,2,0.778,2,2,1,1,211,0.222,0,18,20,2326,1,233,233,0.085308057,0.9,2,1
7,7,0,9,1569,28,5,0.622,6,3,5,1,770,0.356,0,45,48,1569,1,214,214,0.058441558,0.9375,3,1
8,8,0,4,2641,3,4,0.429,4,1,5,1,1050,0.143,0,7,8,2641,2,325,208,0.006666667,0.875,1,1
8,8,0,5,872,7,2,0.07,4,8,10,1,680,0.09,0,100,108,872,1,201,201,0.147058824,0.925925926,8,1
8,9,0,5,1966,9,4,0.6,4,1,10,1,1149,0.2,0,15,16,1966,2,355,207,0.01305483,0.9375,1,1
8,8,0,5,1593,40,4,0.8,4,6,5,1,637,0.34,0,50,56,1593,1,220,220,0.078492936,0.892857143,6,1
8,8,0,6,2048,12,1,0.857,1,1,5,1,350,0.214,1,14,15,2048,1,200,200,0.04,0.933333333,1,1
5,5,0,6,2216,17,0,0.68,0,2,5,1,360,0.04,0,25,27,2216,1,328,328,0.069444444,0.925925926,2,1
8,8,0,6,2129,13,2,0.482,4,3,5,1,950,0.074,0,27,30,2129,1,192,192,0.028421053,0.9,3,1
8,8,1,5,1829,13,2,0.52,2,1,10,1,170,0.16,0,25,26,1829,1,221,221,0.147058824,0.961538462,1,0
7,8,1,6,1999,21,5,0.7,5,3,5,1,280,0.267,1,30,33,1999,1,212,212,0.107142857,0.909090909,3,0
8,8,0,6,2144,4,1,0.5,1,1,10,1,165,0.125,1,8,9,2144,1,223,223,0.048484848,0.888888889,1,0
8,8,0,6,1899,12,4,0.414,6,3,10,1,145,0.172,1,29,32,1899,1,208,208,0.2,0.90625,3,1
8,8,0,6,2218,26,0,0.619,0,4,5,1,565,0.143,0,42,46,2218,1,389,389,0.074336283,0.913043478,4,1
7,8,0,5,1999,6,2,0.6,4,1,5,1,280,0.1,0,10,11,1999,1,208,208,0.035714286,0.909090909,1,1
7,8,1,7,2248,28,2,0.903,3,2,10,1,220,0.194,1,31,33,2248,1,206,206,0.140909091,0.939393939,2,0
8,8,0,6,2299,9,1,0.346,2,1,10,1,205,0.115,0,26,27,2299,2,328,208,0.126829268,0.962962963,1,1
8,8,0,6,962,38,2,0.633,2,3,10,1,652,0.383,0,60,63,962,2,366,222,0.09202454,0.952380952,3,1
4,4,0,2,598,11,5,0.55,7,1,4,1,465,0.05,0,20,21,598,1,342,342,0.043010753,0.952380952,1,0
4,6,0,2,595,12,12,0.546,14,1,4,1,622,0.227,0,22,23,595,1,384,384,0.035369775,0.956521739,1,0
4,6,0,2,598,7,5,0.583,8,1,4,1,407,0.25,0,12,13,598,1,354,354,0.029484029,0.923076923,1,0
8,8,0,4,879,58,5,0.274,3,29,5,1,666,0.137,0,212,241,879,1,179,179,0.318318318,0.87966805,29,1
8,8,0,5,1980,11,3,0.579,6,2,5,1,1606,0.211,0,19,21,1980,1,215,215,0.011830635,0.904761905,2,0
8,8,0,5,1875,21,2,0.6,2,3,10,1,335,0.371,0,35,38,1875,1,223,223,0.104477612,0.921052632,3,1
8,8,0,5,1910,8,1,0.727,2,1,5,1,850,0.091,1,11,12,1910,1,207,207,0.012941176,0.916666667,1,0
8,8,0,5,1849,0,0,0,2,4,5,1,636,0,1,41,45,1849,1,227,227,0.064465409,0.911111111,4,1
6,8,1,5,824,24,4,0.48,3,4,1,1,104,0.36,1,50,54,824,1,202,202,0.480769231,0.925925926,4,0
8,8,0,5,2100,3,3,0.167,6,3,10,1,809,0.111,0,18,21,2100,1,214,214,0.022249691,0.857142857,3,1
7,8,0,5,1999,11,6,0.647,7,1,1,1,135,0.118,0,17,18,1999,2,313,221,0.125925926,0.944444444,1,0
8,8,0,5,1749,10,1,0.625,2,2,5,1,323,0,0,16,18,1749,1,206,206,0.049535604,0.888888889,2,1
8,8,0,5,1992,45,1,0.692,1,6,5,1,560,0.277,0,65,71,1992,2,349,221,0.116071429,0.915492958,6,1
8,8,0,5,1891,15,4,0.79,5,2,5,1,556,0.263,0,19,21,1891,2,417,223,0.034172662,0.904761905,2,1
8,8,0,5,2160,8,3,0.381,6,2,5,1,590,0.143,0,21,23,2160,1,214,214,0.03559322,0.913043478,2,0
8,8,0,5,1891,5,0,0.417,3,1,5,1,750,0,0,12,13,1891,1,160,160,0.016,0.923076923,1,1
5,6,0,5,1259,0,0,0,5,4,2,1,329,0,1,22,26,1259,1,167,167,0.066869301,0.846153846,4,1
7,8,0,7,2329,4,1,0.286,2,1,6,1,780,0,0,14,15,2329,1,209,209,0.017948718,0.933333333,1,1
6,7,0,7,2459,7,1,1,1,1,6,1,1281,0,0,7,8,2459,1,195,195,0.005464481,0.875,1,0
7,8,0,3,1878,2,1,0.4,1,1,5,1,1470,0.2,0,5,6,1878,2,175,173,0.003401361,0.833333333,1,0
8,8,0,3,1229,2,6,0.286,8,1,1,1,287,0.143,0,7,8,1229,1,168,168,0.024390244,0.875,1,0
8,8,0,4,1404,17,0,0.436,0,2,10,1,350,0.359,0,39,41,1404,1,132,132,0.111428571,0.951219512,2,1
8,8,0,4,1334,18,1,0.783,1,2,10,1,185,0.304,1,23,25,1334,1,224,224,0.124324324,0.92,2,1
6,7,1,4,678,11,5,0.367,7,4,2,1,491,0.2,0,30,34,678,1,232,232,0.061099796,0.882352941,4,0
7,8,1,4,1407,12,0,0.5,1,2,4,1,235,0.5,0,24,26,1407,1,208,208,0.10212766,0.923076923,2,1
10,11,0,4,730,1,0,0.028,6,4,9,1,1001,0.056,0,36,40,730,2,295,168,0.035964036,0.9,4,0
7,8,1,4,1643,0,0,0,2,13,5,1,350,0,0,45,58,1643,1,231,231,0.128571429,0.775862069,13,0
8,8,0,5,1619,19,0,0.559,0,3,5,1,400,0.441,0,34,37,1619,2,322,209,0.085,0.918918919,3,1
8,8,0,5,1849,35,10,0.778,14,4,5,1,1611,0.289,0,45,49,1849,2,364,224,0.027932961,0.918367347,4,1
8,8,1,5,2249,32,10,0.516,11,5,5,1,850,0.081,1,62,67,2249,2,235,204,0.072941176,0.925373134,5,1
7,8,0,6,2099,8,3,0.25,5,3,5,1,670,0.094,0,32,35,2099,1,216,216,0.047761194,0.914285714,3,1
11,12,0,3,552,0,0,0,5,8,8,1,373,0,0,71,79,552,1,189,189,0.190348525,0.898734177,8,1
8,8,0,3,640,19,1,0.594,1,2,2,1,250,0.188,0,32,34,640,1,233,233,0.128,0.941176471,2,1
8,8,0,5,1846,7,1,0.583,3,1,10,1,790,0.167,0,12,13,1846,1,225,225,0.015189873,0.923076923,1,0
8,8,0,5,753,88,10,0.461,16,19,5,1,728,0.257,0,191,210,753,1,211,211,0.262362637,0.90952381,19,1
7,9,1,5,1800,13,1,0.565,9,2,10,1,818,0.261,0,23,25,1800,2,367,184,0.028117359,0.92,2,0
8,8,0,5,2322,4,0,0.5,0,1,5,1,950,0,0,8,9,2322,1,146,146,0.008421053,0.888888889,1,0
7,8,0,6,2149,5,0,0.143,3,4,5,1,1000,0.143,0,35,39,2149,1,217,217,0.035,0.897435897,4,1
4,4,0,2,618,16,2,0.432,3,1,5,1,475,0.243,1,37,38,618,1,200,200,0.077894737,0.973684211,1,0
4,4,0,2,616,2,1,0.029,1,7,5,1,500,0,1,70,77,616,1,164,164,0.14,0.909090909,7,1
8,8,0,4,1405,54,3,0.593,2,8,5,1,806,0.33,0,91,99,1405,1,198,198,0.112903226,0.919191919,8,1
8,8,0,3,1390,15,2,0.319,2,4,4,1,537,0.34,0,47,51,1390,1,211,211,0.087523277,0.921568627,4,1
12,12,0,4,1389,10,5,0.4,11,3,6,1,843,0.2,0,25,28,1389,1,203,203,0.029655991,0.892857143,3,1
7,8,1,4,1640,9,4,0.9,3,1,10,1,147,0,0,10,11,1640,1,191,191,0.068027211,0.909090909,1,0
8,8,0,5,2018,8,0,0.5,0,2,5,1,500,0.125,0,16,18,2018,1,211,211,0.032,0.888888889,2,1
8,8,0,5,780,52,9,0.559,9,7,5,1,425,0.29,0,93,100,780,2,338,210,0.218823529,0.93,7,1
8,8,0,6,2201,44,12,0.494,15,7,5,1,972,0.27,0,89,96,2201,1,204,204,0.091563786,0.927083333,7,1
8,8,0,6,2130,18,2,0.621,3,2,5,1,460,0.207,0,29,31,2130,1,212,212,0.063043478,0.935483871,2,1
4,4,0,1,390,8,3,0.444,3,1,5,1,286,0.167,1,18,19,390,1,176,176,0.062937063,0.947368421,1,1
4,4,0,2,574,16,1,0.615,2,1,5,1,300,0.269,0,26,27,574,2,318,204,0.086666667,0.962962963,1,0
8,8,0,3,1202,5,0,0.714,1,1,10,1,357,0.143,0,7,8,1202,2,345,220,0.019607843,0.875,1,1
7,8,1,3,1294,12,3,0.923,3,2,10,1,375,0.308,0,13,15,1294,2,372,219,0.034666667,0.866666667,2,0
8,8,1,3,1117,44,4,0.815,7,3,10,1,214,0.241,0,54,57,1117,1,218,218,0.252336449,0.947368421,3,0
6,8,1,4,1265,32,1,0.582,4,4,8,1,120,0.146,1,55,59,1265,1,219,219,0.458333333,0.93220339,4,0
8,8,0,4,1945,24,15,0.667,7,4,5,1,1027,0.389,0,36,40,1945,1,198,198,0.035053554,0.9,4,1
8,8,0,5,2199,7,7,0.368,7,2,5,1,625,0.263,0,19,21,2199,1,213,213,0.0304,0.904761905,2,1
8,8,0,5,2072,33,7,0.559,9,4,5,1,834,0.237,0,59,63,2072,1,178,178,0.070743405,0.936507937,4,1
8,8,0,6,1699,24,9,0.533,11,4,5,1,1042,0.156,0,45,49,1699,1,214,214,0.04318618,0.918367347,4,1
8,8,0,5,2049,7,0,0.5,0,1,5,1,950,0.214,0,14,15,2049,1,220,220,0.014736842,0.933333333,1,0
8,8,0,5,1839,31,6,0.5,11,11,5,1,1021,0.242,0,62,73,1839,2,353,199,0.06072478,0.849315068,11,1
7,8,0,5,2080,10,2,0.714,2,1,1,1,36,0,0,14,15,2080,1,235,235,0.388888889,0.933333333,1,0
8,8,0,6,2549,30,5,0.667,3,6,5,1,1027,0.289,0,45,51,2549,1,198,198,0.043816943,0.882352941,6,1
8,8,0,6,1850,21,13,0.539,15,3,5,1,650,0.205,0,39,42,1850,1,211,211,0.06,0.928571429,3,1
8,8,0,7,2365,19,3,0.432,4,3,5,1,453,0.068,1,44,47,2365,1,219,219,0.097130243,0.936170213,3,1
4,4,0,1,398,20,2,0.571,4,1,4,1,553,0.229,1,35,36,398,1,198,198,0.063291139,0.972222222,1,1
7,8,1,3,1294,21,0,0.636,1,4,10,1,305,0.091,0,33,37,1294,1,198,198,0.108196721,0.891891892,4,0
12,12,0,4,699,0,0,0,3,4,10,1,380,0,0,42,46,699,1,182,182,0.110526316,0.913043478,4,1
8,8,0,4,885,18,3,0.474,3,4,5,1,683,0.053,0,38,42,885,1,145,145,0.055636896,0.904761905,4,0
8,8,0,4,629,18,6,0.36,12,6,10,1,950,0.1,0,50,56,629,1,136,136,0.052631579,0.892857143,6,1
7,8,1,5,1869,9,1,0.643,2,1,7,1,520,0.214,0,14,15,1869,2,417,200,0.026923077,0.933333333,1,0
8,8,0,5,2232,18,13,0.667,12,4,5,1,2200,0.259,0,27,31,2232,2,340,193,0.012272727,0.870967742,4,1
7,8,0,5,2034,6,5,0.194,16,3,10,1,167,0.484,0,31,34,2034,1,402,402,0.185628743,0.911764706,3,0
8,8,0,5,2040,26,5,0.51,7,5,5,1,900,0.059,0,51,56,2040,1,206,206,0.056666667,0.910714286,5,1
8,8,0,5,2542,25,2,0.658,3,3,5,1,784,0.158,0,38,41,2542,1,228,228,0.048469388,0.926829268,3,1
6,8,1,5,1890,9,0,0.474,6,2,4,1,340,0.316,0,19,21,1890,1,206,206,0.055882353,0.904761905,2,0
7,8,0,5,1921,8,1,0.615,1,2,6,1,535,0.154,0,13,15,1921,1,170,170,0.024299065,0.866666667,2,0
8,8,0,5,811,29,2,0.617,4,4,10,1,348,0.234,0,47,51,811,1,221,221,0.135057471,0.921568627,4,1
8,8,0,6,2047,12,8,0.48,10,2,5,1,663,0.2,0,25,27,2047,1,206,206,0.037707391,0.925925926,2,0
8,8,0,6,2107,9,4,0.346,5,1,4,1,197,0.115,1,26,27,2107,2,226,212,0.131979695,0.962962963,1,1
8,8,0,6,2049,14,5,0.467,11,3,10,1,751,0.533,0,30,33,2049,2,375,205,0.039946738,0.909090909,3,1
8,8,0,7,2459,9,3,0.5,7,1,10,1,500,0.444,0,18,19,2459,1,226,226,0.036,0.947368421,1,1
7,8,1,7,2478,19,4,0.452,9,3,5,1,649,0.119,0,42,45,2478,2,331,205,0.064714946,0.933333333,3,0
7,8,0,5,941,21,1,0.724,6,2,10,1,986,0.448,0,29,31,941,1,215,215,0.029411765,0.935483871,2,1
8,8,0,5,1935,13,3,0.433,4,2,5,1,1038,0.267,0,30,32,1935,1,213,213,0.028901734,0.9375,2,1
7,8,1,5,2023,8,3,0.348,5,2,5,1,342,0.13,0,23,25,2023,1,222,222,0.067251462,0.92,2,0
8,8,0,5,1777,24,7,0.632,10,4,10,1,1700,0.263,0,38,42,1777,1,206,206,0.022352941,0.904761905,4,1
8,8,0,5,2042,4,1,0.571,3,1,5,1,250,0.429,0,7,8,2042,2,214,-4,0.028,0.875,1,0
8,8,0,5,2014,4,2,0.571,3,1,5,1,340,0.429,0,7,8,2014,1,228,228,0.020588235,0.875,1,1
7,8,0,5,2169,6,3,0.75,5,2,5,1,980,0,0,8,10,2169,1,206,206,0.008163265,0.8,2,1
7,8,1,5,2058,11,0,0.786,1,2,1,1,75,0.357,0,14,16,2058,1,208,208,0.186666667,0.875,2,0
6,8,0,5,1830,3,2,1,6,1,6,1,761,0,0,3,4,1830,2,341,214,0.003942181,0.75,1,0
7,11,1,5,1755,4,2,1,2,2,6,1,550,0,0,4,6,1755,1,202,202,0.007272727,0.666666667,2,0
7,8,1,5,1713,31,3,0.861,6,3,6,1,3990,0.25,0,36,39,1713,1,209,209,0.009022556,0.923076923,3,1
7,8,0,5,1975,6,3,0.667,5,1,10,1,175,0,0,9,10,1975,1,187,187,0.051428571,0.9,1,0
8,8,0,5,2472,21,6,0.429,12,6,5,1,852,0.306,0,49,55,2472,2,216,215,0.057511737,0.890909091,6,1
8,8,0,5,2335,16,1,0.696,2,2,4,1,460,0.217,0,23,25,2335,1,221,221,0.05,0.92,2,1
8,8,0,6,1949,37,11,0.487,19,5,5,1,667,0.197,0,76,81,1949,1,230,230,0.113943028,0.938271605,5,1
7,8,1,5,1699,4,2,0.25,9,3,10,1,884,0.063,0,16,19,1699,2,355,178,0.018099548,0.842105263,3,0
6,8,0,6,2334,13,0,0.867,3,2,10,1,235,0,0,15,17,2334,1,215,215,0.063829787,0.882352941,2,1
7,8,0,6,2199,23,2,0.657,5,2,10,1,808,0.114,0,35,37,2199,1,220,220,0.043316832,0.945945946,2,1
8,8,0,6,2165,26,3,0.578,5,2,5,1,1100,0.244,0,45,47,2165,2,355,208,0.040909091,0.957446809,2,1
8,8,0,6,2126,9,4,0.5,4,3,5,1,960,0.111,0,18,21,2126,1,207,207,0.01875,0.857142857,3,1
8,8,0,6,2619,43,13,0.597,14,6,5,1,1119,0.375,0,72,78,2619,2,361,214,0.064343164,0.923076923,6,1
7,8,0,6,2725,9,0,0.9,1,1,5,1,750,0.1,0,10,11,2725,1,221,221,0.013333333,0.909090909,1,0
6,8,1,7,2569,10,2,0.769,3,1,7,1,2050,0.077,0,13,14,2569,1,206,206,0.006341463,0.928571429,1,0
8,8,0,7,2819,12,0,0.632,1,1,5,1,574,0.158,0,19,20,2819,1,207,207,0.033101045,0.95,1,1
9,12,0,7,2569,13,2,0.722,4,2,8,1,3100,0.333,0,18,20,2569,1,192,192,0.005806452,0.9,2,0
8,9,0,7,2953,4,2,1,2,1,5,1,541,0.5,0,4,5,2953,1,202,202,0.007393715,0.8,1,1
4,4,1,2,585,18,2,0.474,6,2,4,1,720,0.132,0,38,40,585,1,356,356,0.052777778,0.95,2,0
7,8,1,4,635,10,1,0.313,1,3,1,1,158,0.313,0,32,35,635,1,223,223,0.202531646,0.914285714,3,0
7,8,1,3,1265,21,3,0.84,4,3,10,1,525,0.16,0,25,28,1265,1,214,214,0.047619048,0.892857143,3,0
6,8,0,3,729,10,16,0.526,18,2,10,1,960,0.263,0,19,21,729,2,335,202,0.019791667,0.904761905,2,1
8,8,0,4,1298,55,5,0.764,6,6,5,1,720,0.375,0,72,78,1298,1,230,230,0.1,0.923076923,6,1
8,8,0,5,2283,8,2,0.615,4,1,5,1,985,0.231,0,13,14,2283,1,207,207,0.01319797,0.928571429,1,1
8,8,0,5,1999,33,3,0.66,5,3,5,1,1141,0.18,0,50,53,1999,1,184,184,0.043821209,0.943396226,3,1
8,8,0,5,2028,7,2,0.778,1,1,8,1,440,0.111,0,9,10,2028,2,207,168,0.020454545,0.9,1,0
8,8,0,5,1026,23,0,0.639,1,7,10,1,445,0.25,1,36,43,1026,1,207,207,0.080898876,0.837209302,7,1
8,8,0,5,1965,13,1,0.448,1,2,5,1,850,0.379,0,29,31,1965,1,208,208,0.034117647,0.935483871,2,1
7,8,1,5,1855,14,2,0.56,2,2,6,1,525,0.28,0,25,27,1855,2,307,200,0.047619048,0.925925926,2,1
6,8,0,5,1892,5,1,0.417,4,1,10,1,961,0.25,0,12,13,1892,1,193,193,0.012486993,0.923076923,1,1
8,8,0,5,1997,6,1,0.546,1,1,5,1,700,0.273,0,11,12,1997,2,327,201,0.015714286,0.916666667,1,1
9,12,0,5,2129,1,0,0.083,0,2,10,1,105,0,0,12,14,2129,1,234,234,0.114285714,0.857142857,2,0
8,8,0,5,2352,7,2,0.539,3,1,5,1,927,0.154,0,13,14,2352,1,216,216,0.014023732,0.928571429,1,1
8,8,1,5,812,15,4,0.278,10,5,10,1,245,0.019,0,54,59,812,1,207,207,0.220408163,0.915254237,5,0
6,8,0,5,1934,9,1,0.692,2,2,6,1,699,0.385,0,13,15,1934,2,321,209,0.018597997,0.866666667,2,1
7,8,0,5,699,6,4,0.375,6,2,2,1,593,0,0,16,18,699,2,326,216,0.02698145,0.888888889,2,0
8,8,0,5,2019,3,3,0.3,4,1,5,1,707,0.1,0,10,11,2019,2,326,208,0.014144272,0.909090909,1,1
7,8,0,5,2299,15,0,0.652,2,3,5,1,1250,0.174,0,23,26,2299,1,173,173,0.0184,0.884615385,3,0
7,8,0,5,2305,5,1,0.714,3,1,10,1,100,0.143,0,7,8,2305,2,326,235,0.07,0.875,1,0
7,7,0,5,1913,35,5,0.547,3,6,5,1,620,0.203,0,64,70,1913,1,201,201,0.103225806,0.914285714,6,1
8,8,0,5,2066,13,4,0.813,4,1,5,1,700,0.125,0,16,17,2066,1,223,223,0.022857143,0.941176471,1,1
8,8,0,5,1949,12,13,0.462,17,3,5,1,445,0.039,0,26,29,1949,1,215,215,0.058426966,0.896551724,3,1
8,8,0,5,2140,10,3,0.667,6,1,5,1,360,0,0,15,16,2140,2,363,230,0.041666667,0.9375,1,1
6,6,0,5,1855,13,0,0.929,2,1,6,1,558,0.214,0,14,15,1855,1,201,201,0.025089606,0.933333333,1,0
